Timestamp,Gender,How old are you,where do you live,Education level,Employment,Monthly income,how often do you visit the bank,Do you use a banking application,which banking app do you use the most,How did you get to know about the application,why do you use the mobile banking,transactions through the application monthly,do you feel your  app is secure,is you application very complex,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Are you satisfied with the app
10/12/2020 15:26:55,Female,25-30,Colombo,Degree,Other profession with degree,between 20000 - 50000,once a month,Yes,BOC,friend,"pay bills, check balance, recharge your phone",below 5000,Yes,No,4,Yes
10/12/2020 15:32:11,Female,18-25,Colombo,Diploma,other,less than 20000,once every few months,Yes,peoples bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,2,Yes
10/12/2020 15:33:10,Male,25-30,Colombo,Degree,Self employed,between 50000 - 100000,once every few months,Yes,Other,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Maybe,Maybe,4,Maybe
10/12/2020 15:34:08,,18-25,Colombo,Degree,Student,Not Applicable,once every few months,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,5,Yes
10/12/2020 15:35:06,Male,18-25,Jaffna,Degree,Student,Not Applicable,once every few months,Yes,BOC,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",50000 - 100000,Yes,No,5,Yes
10/12/2020 15:37:01,Male,25-30,Colombo,Degree,Technology related,between 100000 - 250000,once every few months,Yes,sampath,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,Maybe,4,Maybe
10/12/2020 15:37:18,Male,18-25,Galle,Degree,Technology related,between 100000 - 250000,never,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,No,4,Yes
10/12/2020 15:37:20,Female,18-25,Jaffna,Degree,Technology related,between 50000 - 100000,once a month,Yes,Commercial Bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",5000 -10000,Yes,No,3,Maybe
10/12/2020 15:39:45,Female,18-25,Colombo,Degree,Student,between 20000 - 50000,once every few months,Yes,Commercial Bank,advertisement,check balance,5000 -10000,Maybe,No,3,No
10/12/2020 15:40:54,Female,25-30,Kandy,A/L,un employed,Not Applicable,once a month,Yes,peoples bank,from the bank,check balance,below 5000,Yes,No,3,Yes
10/12/2020 15:42:48,Female,18-25,Badulla,Diploma,other,between 20000 - 50000,never,Yes,peoples bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",below 5000,Maybe,No,4,Maybe
10/12/2020 15:43:46,Male,18-25,Jaffna,Degree,Student,Not Applicable,once every few months,Yes,Commercial Bank,from the bank,"check balance, recharge your phone, for credit card",N/A,Yes,No,3,Yes
10/12/2020 15:43:47,Female,25-30,Vavuniya,Degree,Technology related,between 50000 - 100000,once a month,Yes,BOC,from the bank,transfer money to other accounts,below 5000,Maybe,Maybe,3,Maybe
